"layer","layer_role","x","y","visual_label","behavior","parameter","modifiers","purpose","usage_notes"
"0","Base typing and thumb access","7","5","Ret","Key Press","Return Enter","","Thumb/control key for typing, layer access, mouse access, or Enter.","Sends Return Enter."
"1","Navigation, function keys, programming/editing helpers","0","0","Win+B","Key Press","B","L GUI","Evolved (evo_best_gen150): Sends L GUI+B.","Sends L GUI+B."
"1","Navigation, function keys, programming/editing helpers","1","0","Transparen","Transparent","","","Evolved (evo_best_gen150): Transparent/reserved: falls through to lower active layer or does nothing if no lower binding applies.","Intentionally leaves the underlying layer behavior available."
"1","Navigation, function keys, programming/editing helpers","2","0","F","Key Press","F","L Ctrl","Programming/editing shortcut for find, replace, word movement, or word deletion.","Sends L Ctrl+F.
"
"1","Navigation, function keys, programming/editing helpers","3","0","Ctrl+1","Key Press","1 and Bang","L Ctrl","Evolved (evo_best_gen150): Sends L Ctrl+1.","Sends L Ctrl+1."
"1","Navigation, function keys, programming/editing helpers","4","0","Win+I","Key Press","I","L GUI","Evolved (evo_best_gen150): Sends L GUI+I.","Sends L GUI+I."
"1","Navigation, function keys, programming/editing helpers","5","0","Ctrl+Shift+G","Key Press","G","L Ctrl,L Shift","Evolved (evo_best_gen150): Sends L Ctrl+L Shift+G.","Sends L Ctrl+L Shift+G."
"1","Navigation, function keys, programming/editing helpers","7","0","Transparen","Transparent","","","Evolved (evo_best_gen150): Transparent/reserved: falls through to lower active layer or does nothing if no lower binding applies.","Intentionally leaves the underlying layer behavior available."
"1","Navigation, function keys, programming/editing helpers","8","0","Ctrl+O","Key Press","O","L Ctrl","Evolved (evo_best_gen150): Sends L Ctrl+O.","Sends L Ctrl+O."
"1","Navigation, function keys, programming/editing helpers","9","0","Transparen","Transparent","","","Evolved (evo_best_gen150): Transparent/reserved: falls through to lower active layer or does nothing if no lower binding applies.","Intentionally leaves the underlying layer behavior available."
"1","Navigation, function keys, programming/editing helpers","10","0","Transparen","Transparent","","","Evolved (evo_best_gen150): Transparent/reserved: falls through to lower active layer or does nothing if no lower binding applies.","Intentionally leaves the underlying layer behavior available."
"1","Navigation, function keys, programming/editing helpers","11","0","Transparen","Transparent","","","Evolved (evo_best_gen150): Transparent/reserved: falls through to lower active layer or does nothing if no lower binding applies.","Intentionally leaves the underlying layer behavior available."
"1","Navigation, function keys, programming/editing helpers","12","0","Transparen","Transparent","","","Evolved (evo_best_gen150): Transparent/reserved: falls through to lower active layer or does nothing if no lower binding applies.","Intentionally leaves the underlying layer behavior available."
"1","Navigation, function keys, programming/editing helpers","0","1","Code","Toggle Layer","Layer::5","","Toggle to Code/IDE layer (L5).","Toggle Layer 5."
"1","Navigation, function keys, programming/editing helpers","1","1","Alt+F12","Key Press","F12","L Alt","Evolved (evo_best_gen150): Sends L Alt+F12.","Sends L Alt+F12."
"1","Navigation, function keys, programming/editing helpers","2","1","Win+Tab","Key Press","Tab","L GUI","Evolved (evo_best_gen150): Sends L GUI+Tab.","Sends L GUI+Tab."
"1","Navigation, function keys, programming/editing helpers","3","1","Ctrl+Shift+W","Key Press","W","L Ctrl,L Shift","Evolved (evo_best_gen150): Sends L Ctrl+L Shift+W.","Sends L Ctrl+L Shift+W."
"1","Navigation, function keys, programming/editing helpers","4","1","Shift+Alt+Right","Key Press","RightArrow","L Shift,L Alt","Evolved (evo_best_gen150): Sends L Shift+L Alt+RightArrow.","Sends L Shift+L Alt+RightArrow."
"1","Navigation, function keys, programming/editing helpers","5","1","V","Key Press","V","L Ctrl","Control-modified editing shortcut.","Sends L Ctrl+V.
"
"1","Navigation, function keys, programming/editing helpers","7","1","Ctrl+Shift+E","Key Press","E","L Ctrl,L Shift","Evolved (evo_best_gen150): Sends L Ctrl+L Shift+E.","Sends L Ctrl+L Shift+E."
"1","Navigation, function keys, programming/editing helpers","8","1","Ctrl+Shift+H","Key Press","H","L Ctrl,L Shift","Evolved (evo_best_gen150): Sends L Ctrl+L Shift+H.","Sends L Ctrl+L Shift+H."
"1","Navigation, function keys, programming/editing helpers","9","1","Win+R","Key Press","R","L GUI","Evolved (evo_best_gen150): Sends L GUI+R.","Sends L GUI+R."
"1","Navigation, function keys, programming/editing helpers","10","1","Ctrl+Shift+C","Key Press","C","L Ctrl,L Shift","Evolved (evo_best_gen150): Sends L Ctrl+L Shift+C.","Sends L Ctrl+L Shift+C."
"1","Navigation, function keys, programming/editing helpers","11","1","Ctrl+Up","Key Press","UpArrow","L Ctrl","Evolved (evo_best_gen150): Sends L Ctrl+UpArrow.","Sends L Ctrl+UpArrow."
"1","Navigation, function keys, programming/editing helpers","12","1","Transparen","Transparent","","","Evolved (evo_best_gen150): Transparent/reserved: falls through to lower active layer or does nothing if no lower binding applies.","Intentionally leaves the underlying layer behavior available."
"1","Navigation, function keys, programming/editing helpers","0","2","Ctrl+G","Key Press","G","L Ctrl","Evolved (evo_best_gen150): Sends L Ctrl+G.","Sends L Ctrl+G."
"1","Navigation, function keys, programming/editing helpers","1","2","leftarrow_combo","Key Press","LeftArrow","","Evolved (evo_best_gen150): Sends LeftArrow.","Sends LeftArrow."
"1","Navigation, function keys, programming/editing helpers","2","2","Ctrl+Shift+U","Key Press","U","L Ctrl,L Shift","Evolved (evo_best_gen150): Sends L Ctrl+L Shift+U.","Sends L Ctrl+L Shift+U."
"1","Navigation, function keys, programming/editing helpers","3","2","Scroll","Momentary Layer","Layer::6","","Hold for scroll layer (L6).","Momentary Layer 6."
"1","Navigation, function keys, programming/editing helpers","4","2","Speed","coach_travel_toggle","","","Left-hand speed/travel toggle (hold Nav, tap here, release Nav). Speed stays on until tapped again or Exit Travel on Layer 8. Right hand stays on trackball. Mirrors right-hand speed on Layer 3.","Toggles Layer 8 snipe/travel. Tap on, tap off. Left-hand access."
"1","Navigation, function keys, programming/editing helpers","5","2","f2","Key Press","F2","","Evolved (evo_best_gen150): Sends F2.","Sends F2."
"1","Navigation, function keys, programming/editing helpers","7","2","Search","Key Press","S","L GUI","v1.9: Left-hand Win+S Windows Search: hold Nav thumb + tap A position.","Sends L GUI+S.
"
"1","Navigation, function keys, programming/editing helpers","8","2","↓","Key Press","DownArrow","","Navigation key for cursor/page movement.","Sends DownArrow."
"1","Navigation, function keys, programming/editing helpers","9","2","↑","Key Press","UpArrow","","Navigation key for cursor/page movement.","Sends UpArrow."
"1","Navigation, function keys, programming/editing helpers","10","2","→","Key Press","RightArrow","","Navigation key for cursor/page movement.","Sends RightArrow."
"1","Navigation, function keys, programming/editing helpers","11","2","Ctrl+End","Key Press","End","L Ctrl","Evolved (evo_best_gen150): Sends L Ctrl+End.","Sends L Ctrl+End."
"1","Navigation, function keys, programming/editing helpers","12","2","Win+Up","Key Press","UpArrow","L GUI","Evolved (evo_best_gen150): Sends L GUI+UpArrow.","Sends L GUI+UpArrow."
"1","Navigation, function keys, programming/editing helpers","0","3","Transparen","Transparent","","","Evolved (evo_best_gen150): Transparent/reserved: falls through to lower active layer or does nothing if no lower binding applies.","Intentionally leaves the underlying layer behavior available."
"1","Navigation, function keys, programming/editing helpers","1","3","Transparen","Transparent","","","Evolved (evo_best_gen150): Transparent/reserved: falls through to lower active layer or does nothing if no lower binding applies.","Intentionally leaves the underlying layer behavior available."
"1","Navigation, function keys, programming/editing helpers","2","3","f5","Key Press","F5","","Evolved (evo_best_gen150): Sends F5.","Sends F5."
"1","Navigation, function keys, programming/editing helpers","3","3","Transparen","Transparent","","","Evolved (evo_best_gen150): Transparent/reserved: falls through to lower active layer or does nothing if no lower binding applies.","Intentionally leaves the underlying layer behavior available."
"1","Navigation, function keys, programming/editing helpers","4","3","Up","Key Press","UpArrow","","Evolved (evo_best_gen150): Sends UpArrow.","Sends UpArrow."
"1","Navigation, function keys, programming/editing helpers","5","3","Ctrl+Shift+A","Key Press","A","L Ctrl,L Shift","Evolved (evo_best_gen150): Sends L Ctrl+L Shift+A.","Sends L Ctrl+L Shift+A."
"1","Navigation, function keys, programming/editing helpers","7","3","C","Key Press","C","L Ctrl","Control-modified editing shortcut.","Sends L Ctrl+C."
"1","Navigation, function keys, programming/editing helpers","8","3","Ctrl+K","Key Press","K","L Ctrl","Evolved (evo_best_gen150): Sends L Ctrl+K.","Sends L Ctrl+K."
"1","Navigation, function keys, programming/editing helpers","9","3","coach_game_lock","coach_game_lock","","","Evolved (evo_best_gen150): coach_game_lock",""
"1","Navigation, function keys, programming/editing helpers","10","3","Transparen","Transparent","","","Evolved (evo_best_gen150): Transparent/reserved: falls through to lower active layer or does nothing if no lower binding applies.","Intentionally leaves the underlying layer behavior available."
"1","Navigation, function keys, programming/editing helpers","11","3","Shift+Alt+Down","Key Press","DownArrow","L Shift,L Alt","Evolved (evo_best_gen150): Sends L Shift+L Alt+DownArrow.","Sends L Shift+L Alt+DownArrow."
"1","Navigation, function keys, programming/editing helpers","12","3","Transparen","Transparent","","","Evolved (evo_best_gen150): Transparent/reserved: falls through to lower active layer or does nothing if no lower binding applies.","Intentionally leaves the underlying layer behavior available."
"1","Navigation, function keys, programming/editing helpers","3","4","Win+N","Key Press","N","L GUI","Evolved (evo_best_gen150): Sends L GUI+N.","Sends L GUI+N."
"1","Navigation, function keys, programming/editing helpers","4","4","Ctrl+2","Key Press","2 and At","L Ctrl","Evolved (evo_best_gen150): Sends L Ctrl+2.","Sends L Ctrl+2."
"1","Navigation, function keys, programming/editing helpers","5","4","Transparen","Transparent","","","Evolved (evo_best_gen150): Transparent/reserved: falls through to lower active layer or does nothing if no lower binding applies.","Intentionally leaves the underlying layer behavior available."
"1","Navigation, function keys, programming/editing helpers","7","4","comma_combo","Key Press","Comma and LessThan","","Evolved (evo_best_gen150): Sends <.","Sends <."
"1","Navigation, function keys, programming/editing helpers","8","4","Ctrl+P","Key Press","P","L Ctrl","Evolved (evo_best_gen150): Sends L Ctrl+P.","Sends L Ctrl+P."
"1","Navigation, function keys, programming/editing helpers","4","5","Ctrl+Down","Key Press","DownArrow","L Ctrl","Evolved (evo_best_gen150): Sends L Ctrl+DownArrow.","Sends L Ctrl+DownArrow."
"1","Navigation, function keys, programming/editing helpers","5","5","Ctrl+-","Key Press","Dash and Underscore","L Ctrl","Zoom out.","Sends L Ctrl+Dash."
"1","Navigation, function keys, programming/editing helpers","7","5","left gui","Key Press","Left GUI","","Evolved (evo_best_gen150): Sends LeftGUI.","Sends LeftGUI."
"2","Mouse lock and button layer","0","0","Snip","Key Press","PrintScreen","L Shift,L GUI","v2.5: Mouse QoL — Win+Shift+S screenshot snip tool for capturing while browsing.","Sends L GUI+L Shift+Print Screen."
"2","Mouse lock and button layer","1","0","f9","Key Press","F9","","Evolved (evo_best_gen150): Sends F9.","Sends F9."
"2","Mouse lock and button layer","2","0","Desktop","Key Press","D","L GUI","v2.0: Left-hand mouse QoL — Win+D toggles show desktop.","Sends L GUI+D."
"2","Mouse lock and button layer","3","0","f10","Key Press","F10","","Evolved (evo_best_gen150): Sends F10.","Sends F10."
"2","Mouse lock and button layer","4","0","Ctrl+Shift+G","Key Press","G","L Ctrl,L Shift","Evolved (evo_best_gen150): Sends L Ctrl+L Shift+G.","Sends L Ctrl+L Shift+G."
"2","Mouse lock and button layer","5","0","Scroll","Momentary Layer","Layer::6","","v2.0: Left-hand mouse QoL — hold for scroll overlay.","Hold to scroll, release to return."
"2","Mouse lock and button layer","7","0","Transparen","Transparent","","","Evolved (evo_best_gen150): Transparent/reserved: falls through to lower active layer or does nothing if no lower binding applies.","Intentionally leaves the underlying layer behavior available."
"2","Mouse lock and button layer","8","0","Ctrl+2","Key Press","2 and At","L Ctrl","Evolved (evo_best_gen150): Sends L Ctrl+2.","Sends L Ctrl+2."
"2","Mouse lock and button layer","9","0","Transparen","Transparent","","","Evolved (evo_best_gen150): Transparent/reserved: falls through to lower active layer or does nothing if no lower binding applies.","Intentionally leaves the underlying layer behavior available."
"2","Mouse lock and button layer","10","0","Ctrl+F","Key Press","F","L Ctrl","Evolved (evo_best_gen150): Sends L Ctrl+F.","Sends L Ctrl+F."
"2","Mouse lock and button layer","11","0","Transparen","Transparent","","","Evolved (evo_best_gen150): Transparent/reserved: falls through to lower active layer or does nothing if no lower binding applies.","Intentionally leaves the underlying layer behavior available."
"2","Mouse lock and button layer","12","0","Transparen","Transparent","","","Evolved (evo_best_gen150): Transparent/reserved: falls through to lower active layer or does nothing if no lower binding applies.","Intentionally leaves the underlying layer behavior available."
"2","Mouse lock and button layer","0","1","Win+E","Key Press","E","L GUI","Evolved (evo_best_gen150): Sends L GUI+E.","Sends L GUI+E."
"2","Mouse lock and button layer","1","1","Ctrl+Shift+K","Key Press","K","L Ctrl,L Shift","Evolved (evo_best_gen150): Sends L Ctrl+L Shift+K.","Sends L Ctrl+L Shift+K."
"2","Mouse lock and button layer","2","1","Close","Key Press","W","L Ctrl","v2.0: Left-hand mouse QoL — Ctrl+W close tab.","Sends L Ctrl+W.
"
"2","Mouse lock and button layer","3","1","Enter","Key Press","Return Enter","","Evolved (evo_best_gen150): Sends Enter.","Sends Enter."
"2","Mouse lock and button layer","4","1","F5","Key Press","F5","","Evolved (evo_best_gen150): Sends F5.","Sends F5."
"2","Mouse lock and button layer","5","1","Zoom In","Key Press","Equals and Plus","L Ctrl","v2.5: Mouse QoL — Ctrl+= zoom in for detailed viewing while pointing.","Sends L Ctrl+Equal.
"
"2","Mouse lock and button layer","7","1","Win","Key Press","Left GUI","","v2.0: Right-hand mouse QoL — Win key to show auto-hide taskbar / Start menu.","Sends Left GUI (Windows key).
"
"2","Mouse lock and button layer","8","1","Enter","Key Press","Return Enter","","v2.0: Right-hand mouse QoL — Enter to confirm dialogs/actions while navigating.","Sends Return Enter."
"2","Mouse lock and button layer","9","1","Ctrl+S","Key Press","S","L Ctrl","Evolved (evo_best_gen150): Sends L Ctrl+S.","Sends L Ctrl+S."
"2","Mouse lock and button layer","10","1","minus","Key Press","Dash and Underscore","","Evolved (evo_best_gen150): Sends _.","Sends _."
"2","Mouse lock and button layer","11","1","f6","Key Press","F6","","Evolved (evo_best_gen150): Sends F6.","Sends F6."
"2","Mouse lock and button layer","12","1","Cut","Key Press","X","L Ctrl","v2.0: Left-hand mouse QoL — Ctrl+X cut (unique to left hand).","Sends L Ctrl+X.
"
"2","Mouse lock and button layer","0","2","MB4","Mouse Key Press","default_transform","","Evolved (evo_best_gen150): Mouse Key Press: MB4",""
"2","Mouse lock and button layer","1","2","Ctrl+H","Key Press","H","L Ctrl","Evolved (evo_best_gen150): Sends L Ctrl+H.","Sends L Ctrl+H."
"2","Mouse lock and button layer","2","2","MB2","Mouse Key Press","default_transform","","v2.0: Left-hand mouse QoL — right click on home row.","Left-hand MB2 for use while thumb holds mouse layer."
"2","Mouse lock and button layer","3","2","MB3","Mouse Key Press","default_transform","","v2.0: Left-hand mouse QoL — middle click on home row.","Left-hand MB3 for scrolling or link-in-new-tab."
"2","Mouse lock and button layer","4","2","Ctrl+I","Key Press","I","L Ctrl","Evolved (evo_best_gen150): Sends L Ctrl+I.","Sends L Ctrl+I."
"2","Mouse lock and button layer","5","2","Ctrl+6","Key Press","6 and Caret","L Ctrl","Evolved (evo_best_gen150): Sends L Ctrl+6.","Sends L Ctrl+6."
"2","Mouse lock and button layer","7","2","Ctrl+C","Key Press","C","L Ctrl","Evolved (evo_best_gen150): Sends L Ctrl+C.","Sends L Ctrl+C."
"2","Mouse lock and button layer","8","2","f4","Key Press","F4","","Evolved (evo_best_gen150): Sends F4.","Sends F4."
"2","Mouse lock and button layer","9","2","coach_travel_toggle","coach_travel_toggle","","","Evolved (evo_best_gen150): coach_travel_toggle",""
"2","Mouse lock and button layer","10","2","coach_base","coach_base","","","Evolved (evo_best_gen150): coach_base",""
"2","Mouse lock and button layer","11","2","f5","Key Press","F5","","Evolved (evo_best_gen150): Sends F5.","Sends F5."
"2","Mouse lock and button layer","12","2","Scroll","Toggle Layer","Layer::6","","Toggle scroll layer (L6).","Toggle Layer 6."
"2","Mouse lock and button layer","0","3","Transparen","Transparent","","","Evolved (evo_best_gen150): Transparent/reserved: falls through to lower active layer or does nothing if no lower binding applies.","Intentionally leaves the underlying layer behavior available."
"2","Mouse lock and button layer","1","3","Transparen","Transparent","","","Evolved (evo_best_gen150): Transparent/reserved: falls through to lower active layer or does nothing if no lower binding applies.","Intentionally leaves the underlying layer behavior available."
"2","Mouse lock and button layer","2","3","Shift+Alt+A","Key Press","A","L Shift,L Alt","Evolved (evo_best_gen150): Sends L Shift+L Alt+A.","Sends L Shift+L Alt+A."
"2","Mouse lock and button layer","3","3","Ctrl+G","Key Press","G","L Ctrl","Evolved (evo_best_gen150): Sends L Ctrl+G.","Sends L Ctrl+G."
"2","Mouse lock and button layer","4","3","Ctrl+Shift+E","Key Press","E","L Ctrl,L Shift","Evolved (evo_best_gen150): Sends L Ctrl+L Shift+E.","Sends L Ctrl+L Shift+E."
"2","Mouse lock and button layer","5","3","Paste","Key Press","V","L Ctrl","v2.0: Left-hand mouse QoL — Ctrl+V paste.","Sends L Ctrl+V.
"
"2","Mouse lock and button layer","7","3","Shift+Alt+Down","Key Press","DownArrow","L Shift,L Alt","Evolved (evo_best_gen150): Sends L Shift+L Alt+DownArrow.","Sends L Shift+L Alt+DownArrow."
"2","Mouse lock and button layer","8","3","pageup","Key Press","9 and PageUp","","Evolved (evo_best_gen150): Sends Keypad 9 and PageUp.","Sends Keypad 9 and PageUp."
"2","Mouse lock and button layer","9","3","Transparen","Transparent","","","Evolved (evo_best_gen150): Transparent/reserved: falls through to lower active layer or does nothing if no lower binding applies.","Intentionally leaves the underlying layer behavior available."
"2","Mouse lock and button layer","10","3","Undo","Key Press","Z","L Ctrl","v2.0: Right-hand mouse QoL — Ctrl+Z undo after accidental edit.","Sends L Ctrl+Z."
"2","Mouse lock and button layer","11","3","Speed","Momentary Layer","Layer::8","","Hold for pointer travel overlay (L8).","Momentary Layer 8."
"2","Mouse lock and button layer","12","3","Ctrl+Shift+Enter","Key Press","Return Enter","L Ctrl,L Shift","Evolved (evo_best_gen150): Sends L Ctrl+L Shift+Enter.","Sends L Ctrl+L Shift+Enter."
"2","Mouse lock and button layer","3","4","Ctrl+Page Up","Key Press","PageUp","L Ctrl","Evolved (evo_best_gen150): Sends L Ctrl+PageUp.","Sends L Ctrl+PageUp."
"2","Mouse lock and button layer","4","4","Transparent","Transparent","","","Transparent/reserved: falls through to lower active layer or does nothing if no lower binding applies.","Intentionally leaves the underlying layer behavior available."
"2","Mouse lock and button layer","5","4","Transparen","Transparent","","","Evolved (evo_best_gen150): Transparent/reserved: falls through to lower active layer or does nothing if no lower binding applies.","Intentionally leaves the underlying layer behavior available."
"2","Mouse lock and button layer","7","4","forwardslash_combo","Key Press","ForwardSlash and QuestionMark","","Evolved (evo_best_gen150): Sends ?.","Sends ?."
"2","Mouse lock and button layer","8","4","left brace_combo","Key Press","Left Brace","","Evolved (evo_best_gen150): Sends {.","Sends {."
"2","Mouse lock and button layer","4","5","Ctrl+[","Key Press","Left Brace","L Ctrl","Evolved (evo_best_gen150): Sends L Ctrl+{.","Sends L Ctrl+{."
"2","Mouse lock and button layer","5","5","Transparen","Transparent","","","Evolved (evo_best_gen150): Transparent/reserved: falls through to lower active layer or does nothing if no lower binding applies.","Intentionally leaves the underlying layer behavior available."
"2","Mouse lock and button layer","7","5","right brace_combo","Key Press","Right Brace","","Evolved (evo_best_gen150): Sends }.","Sends }."
"3","Window, app, language, mouse/game/travel control","0","0","Transparen","Transparent","","","Evolved (evo_best_gen150): Transparent/reserved: falls through to lower active layer or does nothing if no lower binding applies.","Intentionally leaves the underlying layer behavior available."
"3","Window, app, language, mouse/game/travel control","1","0","Transparen","Transparent","","","Evolved (evo_best_gen150): Transparent/reserved: falls through to lower active layer or does nothing if no lower binding applies.","Intentionally leaves the underlying layer behavior available."
"3","Window, app, language, mouse/game/travel control","2","0","equal","Key Press","Equals and Plus","","Evolved (evo_best_gen150): Sends =.","Sends =."
"3","Window, app, language, mouse/game/travel control","3","0","Emoji","Key Press","Period and GreaterThan","L GUI","Win+. Emoji picker on L3 x0,y0. Fills x0 column.","Sends L GUI+Period and GreaterThan."
"3","Window, app, language, mouse/game/travel control","4","0","QSett","Key Press","A","L GUI","v2.2: Win+A — Quick Settings. Fills empty L3 y0.","Sends L GUI+A."
"3","Window, app, language, mouse/game/travel control","5","0","Notif","Key Press","N","L GUI","v2.2: Win+N — Notifications. Fills empty L3 y0.","Sends L GUI+N."
"3","Window, app, language, mouse/game/travel control","7","0","TskCy","Key Press","T","L GUI","v2.2: Win+T — Cycle taskbar. Fills empty L3 y0.","Sends L GUI+T."
"3","Window, app, language, mouse/game/travel control","8","0","Transparen","Transparent","","","Evolved (evo_best_gen150): Transparent/reserved: falls through to lower active layer or does nothing if no lower binding applies.","Intentionally leaves the underlying layer behavior available."
"3","Window, app, language, mouse/game/travel control","9","0","Ctrl+P","Key Press","P","L Ctrl","Evolved (evo_best_gen150): Sends L Ctrl+P.","Sends L Ctrl+P."
